Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},all%
94,10445.763016899880312848836183547974,10242.238761528325994731858372688293,0.980516094894908207812989076047,3,MRK{3%}VZ{3%}AMGN{15%}Cash{79%},100
95,10559.174442305535194464027881622314,10312.492574440055250306613743305206,0.976638148255497662297841543477,4,MRK{3%}VZ{1%}AMGN{17%}GS{1%}Cash{78%},100
96,10567.424053610131522873416543006897,10329.928031620538604329340159893036,0.977525646668029990493664627138,4,MRK{3%}VZ{2%}AMGN{16%}GS{1%}Cash{78%},100
97,10690.958275662953383289277553558350,10347.363488801045605214312672615051,0.967861179699478269000678665179,4,MRK{3%}VZ{3%}AMGN{15%}GS{1%}Cash{78%},100
98,10712.398773400713253067806363105774,10392.675185770742245949804782867432,0.970153875486426398033756868244,3,MRK{2%}VZ{2%}AMGN{17%}Cash{79%},100
99,10742.145152750115812523290514945984,10410.110642951263798750005662441254,0.969090483783506928538997726719,3,MRK{2%}VZ{3%}AMGN{16%}Cash{79%},100
100,10850.117635021882961154915392398834,10583.597699604741137591190636157990,0.975436216971798386587977347517,3,MRK{4%}VZ{3%}AMGN{15%}Cash{78%},100
101,10906.449751047322934027761220932007,10671.286969696988307987339794635773,0.978438191463014583781898636516,4,MRK{4%}VZ{2%}AMGN{16%}GS{1%}Cash{77%},100
102,10964.386043326401704689487814903259,10751.469581027678941609337925910950,0.980581086669388368726174576295,3,MRK{3%}VZ{3%}AMGN{16%}Cash{78%},100
103,11069.784962928677487070672214031219,10768.905038208173209568485617637634,0.972819713686569942368009833444,3,MRK{3%}VZ{4%}AMGN{15%}Cash{78%},100
104,11083.781319028747020638547837734222,10839.158851119906103122048079967499,0.977929691964522063152287500998,4,MRK{3%}VZ{2%}AMGN{17%}GS{1%}Cash{77%},100
105,11192.323040442723140586167573928833,10856.594308300396733102388679981232,0.970003659568331566553922584717,4,MRK{3%}VZ{3%}AMGN{16%}GS{1%}Cash{77%},100
106,11261.786765355769603047519922256470,10901.906005270106106763705611228943,0.968044079719858285848488321790,3,MRK{2%}VZ{2%}AMGN{18%}Cash{78%},100
107,11280.859237717033465742133557796478,10919.341462450602193712256848812103,0.967952992972581971464762773394,3,MRK{2%}VZ{3%}AMGN{17%}Cash{78%},100
108,11345.489914021252843667753040790558,11092.828519104103179415687918663025,0.977730234936360020903123313474,3,MRK{4%}VZ{3%}AMGN{16%}Cash{77%},100
109,11402.705633525647499482147395610809,11180.517789196319426991976797580719,0.980514462841515221924737488735,4,MRK{4%}VZ{2%}AMGN{17%}GS{1%}Cash{76%},100
110,11474.838290671166760148480534553528,11197.953246376793686067685484886169,0.975870244331070391119453688589,4,MRK{4%}VZ{3%}AMGN{16%}GS{1%}Cash{76%},100
111,11487.957014152327246847562491893768,11260.700400527013698592782020568848,0.980217839138382007746486124233,3,MRK{3%}VZ{3%}AMGN{17%}Cash{77%},100
112,11579.606347706267115427181124687195,11278.135857707507966551929712295532,0.973965393904907994482300637173,3,MRK{3%}VZ{4%}AMGN{16%}Cash{77%},100
113,11605.238656629933757358230650424957,11348.389670619239041116088628768921,0.977867841100884205296495110815,4,MRK{3%}VZ{2%}AMGN{18%}GS{1%}Cash{76%},100
114,11700.051281142215884756296873092651,11365.825127799744223011657595634460,0.971433787313294327958601570572,4,MRK{3%}VZ{3%}AMGN{17%}GS{1%}Cash{76%},100
115,11813.204204041996490559540688991547,11411.136824769431768800131976604462,0.965964578929822126340809518297,3,MRK{2%}VZ{2%}AMGN{19%}Cash{77%},100
116,11822.583751011130516417324542999268,11428.572281949938769685104489326477,0.966672981358453586864243334276,3,MRK{2%}VZ{3%}AMGN{18%}Cash{77%},100
117,11847.650772814202355220913887023926,11602.059338603456126293167471885681,0.979270874967526516741145314882,3,MRK{4%}VZ{3%}AMGN{17%}Cash{76%},100
118,11904.338997274278881377540528774261,11619.494795783910376485437154769897,0.976072237059479874687895062380,3,MRK{4%}VZ{4%}AMGN{16%}Cash{76%},100
119,11905.643372267864833702333271503448,11689.748608695643270038999617099762,0.981866182547084243026347394334,4,MRK{4%}VZ{2%}AMGN{18%}GS{1%}Cash{75%},100
120,11966.048267087411659304052591323853,11707.184065876161184860393404960632,0.978366776112440050816587699956,4,MRK{4%}VZ{3%}AMGN{17%}GS{1%}Cash{75%},100
121,12015.829149958639391115866601467133,11769.931220026339360629208385944366,0.979535500474959186512080577813,3,MRK{3%}VZ{3%}AMGN{18%}Cash{76%},100
122,12094.876020871834043646231293678284,11787.366677206853637471795082092285,0.974575238048383529765317234705,3,MRK{3%}VZ{4%}AMGN{17%}Cash{76%},100
123,12131.138403986937191803008317947388,11857.620490118595625972375273704529,0.977453236064106834035669635341,4,MRK{3%}VZ{2%}AMGN{19%}GS{1%}Cash{75%},100
124,12213.349404285178025020286440849304,11875.055947299068066058680415153503,0.972301336366630408747369074263,4,MRK{3%}VZ{3%}AMGN{18%}GS{1%}Cash{75%},100
125,12346.610974994675416382960975170135,11943.418276679849441279657185077667,0.967343856615276553867488473770,3,MRK{5%}VZ{3%}AMGN{17%}Cash{75%},100
126,12348.498904548328937380574643611908,12031.107546772083878749981522560120,0.974297170835935366639546373335,4,MRK{5%}VZ{2%}AMGN{18%}GS{1%}Cash{74%},100
127,12355.772538778785019530914723873138,12111.290158102779969340190291404724,0.980213104449058625355917229172,3,MRK{4%}VZ{3%}AMGN{18%}Cash{75%},100
128,12401.746737775989458896219730377197,12128.725615283266961341723799705505,0.977985268666945573023951965297,3,MRK{4%}VZ{4%}AMGN{17%}Cash{75%},100
129,12414.450902092561591416597366333008,12198.979428194987121969461441040039,0.982643495423445978431686853583,4,MRK{4%}VZ{2%}AMGN{19%}GS{1%}Cash{74%},100
130,12464.040565304079791530966758728027,12216.414885375505036790855228900909,0.980132792521721585288219102949,4,MRK{4%}VZ{3%}AMGN{18%}GS{1%}Cash{74%},100
131,12547.459611930529717938043177127838,12279.162039525679574580863118171692,0.978617379078889904064908478176,3,MRK{3%}VZ{3%}AMGN{19%}Cash{75%},100
132,12614.926377222214796347543597221375,12296.597496706212041317485272884369,0.974765696525127234295382550044,3,MRK{3%}VZ{4%}AMGN{18%}Cash{75%},100
133,12662.154651913737325230613350868225,12368.027362318858649814501404762268,0.976771150117770492471436227788,4,MRK{3%}VZ{2%}AMGN{20%}GS{1%}Cash{74%},100
134,12731.543744220411099377088248729706,12384.286766798397366073913872241974,0.972724676253054254537744327536,4,MRK{3%}VZ{3%}AMGN{19%}GS{1%}Cash{74%},100
135,12830.759180844088405137881636619568,12452.649096179202388157136738300323,0.970530965523116351256760481192,3,MRK{5%}VZ{3%}AMGN{18%}Cash{74%},100
136,12835.535231612242569099180400371552,12540.338366271416816744022071361542,0.977001592842517863068962924444,4,MRK{5%}VZ{2%}AMGN{19%}GS{1%}Cash{73%},100
137,12853.676984181485750013962388038635,12557.773823451912903692573308944702,0.976979104026518663239642137341,4,MRK{5%}VZ{3%}AMGN{18%}GS{1%}Cash{73%},100
138,12869.149155074952432187274098396301,12620.520977602131097228266298770905,0.980680294052324708076184833772,3,MRK{4%}VZ{3%}AMGN{19%}Cash{74%},100
139,12905.229795858067518565803766250610,12637.956434782621727208606898784637,0.979289531042583427655756622698,3,MRK{4%}VZ{4%}AMGN{18%}Cash{74%},100
140,12929.627759120161499595269560813904,12709.386300395266516716219484806061,0.982966140802503551832103312336,4,MRK{4%}VZ{2%}AMGN{20%}GS{1%}Cash{73%},100
141,12968.033854323784908046945929527283,12725.645704874847069731913506984711,0.981308797295580736985698422359,4,MRK{4%}VZ{3%}AMGN{19%}GS{1%}Cash{73%},100
142,13083.629138571504881838336586952209,12789.568911725968064274638891220093,0.977524567248805209551676398405,3,MRK{3%}VZ{3%}AMGN{20%}Cash{74%},100
143,13139.189769360889840754680335521698,12805.828316205568626173771917819977,0.974628461951841051913447699917,3,MRK{3%}VZ{4%}AMGN{19%}Cash{74%},100
144,13195.371062438620356260798871517181,12877.258181818184311850927770137787,0.975892085253596053284752542822,4,MRK{3%}VZ{2%}AMGN{21%}GS{1%}Cash{73%},100
145,13255.271374120336986379697918891907,12894.693638998689493746496737003326,0.972797408295567489489030776895,4,MRK{3%}VZ{3%}AMGN{20%}GS{1%}Cash{73%},100
146,13321.770096193962672259658575057983,12961.879915678544421098195016384125,0.972984807730750467236191525444,3,MRK{5%}VZ{3%}AMGN{19%}Cash{73%},100
147,13327.859765273369703209027647972107,12979.315372858978662407025694847107,0.973848434891058323259471762867,3,MRK{5%}VZ{4%}AMGN{18%}Cash{73%},100
148,13330.367167020562192192301154136658,13050.745238471714401384815573692322,0.979023688916788814573521904094,4,MRK{5%}VZ{2%}AMGN{20%}GS{1%}Cash{72%},100
149,13338.886731676977433380670845508575,13067.004642951278583495877683162689,0.979617332825831854670184384304,4,MRK{5%}VZ{3%}AMGN{19%}GS{1%}Cash{72%},100
150,13388.377423530062515055760741233826,13130.927849802403216017410159111023,0.980770666557756909398335665173,3,MRK{4%}VZ{3%}AMGN{20%}Cash{73%},100
151,13414.104098669324230286292731761932,13147.187254281945570255629718303680,0.980101776277861436170724118710,3,MRK{4%}VZ{4%}AMGN{19%}Cash{73%},100
152,13448.205212197541186469607055187225,13218.617119894590359763242304325104,0.982927975244256790787744648696,4,MRK{4%}VZ{2%}AMGN{21%}GS{1%}Cash{72%},100
153,13478.536881802807329222559928894043,13236.052577075115550542250275611877,0.982009597417426882692836898059,4,MRK{4%}VZ{3%}AMGN{20%}GS{1%}Cash{72%},100
154,13598.094025326081464299932122230530,13252.311981554710655473172664642334,0.974571286010571746771802281728,4,MRK{4%}VZ{4%}AMGN{19%}GS{1%}Cash{72%},100
155,13621.477391782529593911021947860718,13298.799731225293726311065256595612,0.976311111395897546216815499065,3,MRK{3%}VZ{3%}AMGN{21%}Cash{73%},100
156,13668.404740722940914565697312355042,13316.235188405798908206634223461151,0.974234772894315481650551191706,3,MRK{3%}VZ{4%}AMGN{20%}Cash{73%},100
157,13731.608546414672673563472926616669,13386.489001317539077717810869216919,0.974866779523274051832970599207,4,MRK{3%}VZ{2%}AMGN{22%}GS{1%}Cash{72%},100
158,13781.626318709077168023213744163513,13403.924458498022431740537285804749,0.972593810666720015589703507430,4,MRK{3%}VZ{3%}AMGN{21%}GS{1%}Cash{72%},100
159,13817.249038876132544828578829765320,13488.546192358357075136154890060425,0.976210688133872461769158235256,3,MRK{5%}VZ{4%}AMGN{19%}Cash{72%},100
160,13830.001107774034608155488967895508,13559.976057971027330495417118072510,0.980475413725655942087655603245,4,MRK{5%}VZ{2%}AMGN{21%}GS{1%}Cash{71%},100
161,13831.774832045217408449389040470123,13577.411515151517960475757718086243,0.981610218501793752032824613707,4,MRK{5%}VZ{3%}AMGN{20%}GS{1%}Cash{71%},100
162,13910.544106091911089606583118438721,13640.158669301734335022047162055969,0.980562554941918795847755063733,3,MRK{4%}VZ{3%}AMGN{21%}Cash{72%},100
163,13928.970186899638065369799733161926,13657.594126482214051065966486930847,0.980517148304857699692149708426,3,MRK{4%}VZ{4%}AMGN{20%}Cash{72%},100
164,13970.854362543383103911764919757843,13727.847939393941487651318311691284,0.982606187363819660873787142918,4,MRK{4%}VZ{2%}AMGN{22%}GS{1%}Cash{71%},100
165,13992.614253761736108572222292423248,13745.283396574453945504501461982727,0.982324185266467253541122772731,4,MRK{4%}VZ{3%}AMGN{21%}GS{1%}Cash{71%},100
166,14101.545560225935332709923386573792,13762.718853754951851442456245422363,0.975972370899069407990111812978,4,MRK{4%}VZ{4%}AMGN{20%}GS{1%}Cash{71%},100
167,14161.904532373349866247735917568207,13808.030550724617569358088076114655,0.975012260473879344147007941501,3,MRK{3%}VZ{3%}AMGN{22%}Cash{72%},100
168,14199.715870251337037188932299613953,13825.466007905157312052324414253235,0.973643848527262489866984651599,3,MRK{3%}VZ{4%}AMGN{21%}Cash{72%},100
169,14270.526543143221715581603348255157,13895.719820816868377733044326305389,0.973735606658014840597559214075,4,MRK{3%}VZ{2%}AMGN{23%}GS{1%}Cash{71%},100
170,14305.360351714836724568158388137817,13918.770453227953112218528985977173,0.972975871352968590954901628720,4,MRK{6%}VZ{3%}AMGN{20%}GS{1%}Cash{70%},100
171,14313.819687161470938008278608322144,13998.953064558643745840527117252350,0.978002613594103009653224489739,3,MRK{5%}VZ{4%}AMGN{20%}Cash{71%},100
172,14329.395820422827455331571400165558,14086.642334650863631395623087882996,0.983059056444935297491838355199,4,MRK{5%}VZ{3%}AMGN{21%}GS{1%}Cash{70%},100
173,14409.172406127961949096061289310455,14104.077791831368813291192054748535,0.978826361036054914954718242370,4,MRK{5%}VZ{4%}AMGN{20%}GS{1%}Cash{70%},100
174,14436.392325308872386813163757324219,14149.389488801078186952508985996246,0.980119490379556923542736512900,3,MRK{4%}VZ{3%}AMGN{22%}Cash{71%},100
175,14446.942427402344037545844912528992,14166.824945981570635922253131866455,0.980610604435616872720515857509,3,MRK{4%}VZ{4%}AMGN{21%}Cash{71%},100
176,14497.134839665937761310487985610962,14237.078758893294434528797864913940,0.982061553289750865936014179169,4,MRK{4%}VZ{2%}AMGN{23%}GS{1%}Cash{70%},100
177,14510.932071548222666024230420589447,14254.514216073794159456156194210052,0.982329332519088160857734237652,4,MRK{4%}VZ{3%}AMGN{22%}GS{1%}Cash{70%},100
