Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
94,38816.00504,30575.76822,0.78771,9,MSFT{7.377049%} JPM{10.327869%} MRK{18.688525%} VZ{10.491803%} IBM{15.409836%} BA{1.475410%} MMM{5.245902%} TRV{20.491803%} WBA{10.491803%} ,
95,38872.09738,30599.98867,0.787197,9,MSFT{9.912536%} JPM{9.329446%} MRK{18.075802%} VZ{9.329446%} IBM{13.411079%} BA{2.332362%} MMM{9.766764%} TRV{18.513120%} WBA{9.329446%} ,
96,38908.7942,30602.38293,0.786516,10,MSFT{9.370425%} UNH{0.292826%} JPM{9.516837%} MRK{18.155198%} VZ{9.370425%} IBM{13.469985%} BA{2.342606%} MMM{9.516837%} TRV{18.594436%} WBA{9.370425%} ,
97,38914.9016,30617.76454,0.786788,12,MSFT{10.235131%} V{0.553250%} JPM{8.990318%} MRK{17.427386%} MCD{0.138313%} VZ{9.820194%} HON{0.414938%} IBM{12.448133%} BA{4.426003%} MMM{9.128631%} TRV{17.565698%} WBA{8.852006%} ,
98,38923.59291,30619.56342,0.786658,10,MSFT{9.356725%} UNH{0.292398%} JPM{9.649123%} MRK{18.128655%} VZ{9.356725%} IBM{13.450292%} BA{2.339181%} MMM{9.502924%} TRV{18.567251%} WBA{9.356725%} ,
99,38927.42847,30631.35097,0.786883,12,MSFT{10.206897%} V{0.551724%} JPM{8.965517%} MRK{17.379310%} MCD{0.137931%} VZ{9.517241%} HON{0.413793%} IBM{12.965517%} BA{4.413793%} MMM{9.103448%} TRV{17.517241%} WBA{8.827586%} ,
100,38934.61432,30648.52552,0.787179,9,MSFT{9.356725%} JPM{9.356725%} MRK{18.128655%} VZ{9.649123%} IBM{13.450292%} BA{2.339181%} MMM{9.795322%} TRV{18.567251%} WBA{9.356725%} ,
101,38952.6277,30651.54551,0.786893,10,MSFT{9.329446%} UNH{0.291545%} JPM{9.912536%} MRK{18.075802%} VZ{9.329446%} IBM{13.411079%} BA{2.332362%} MMM{9.475219%} TRV{18.513120%} WBA{9.329446%} ,
102,38958.58127,30656.21128,0.786892,10,MSFT{10.533911%} JPM{10.678211%} HD{0.144300%} MRK{17.748918%} VZ{9.235209%} IBM{12.698413%} BA{2.308802%} MMM{9.235209%} TRV{18.181818%} WBA{9.235209%} ,
103,38961.49655,30665.70959,0.787077,10,MSFT{9.261939%} JPM{6.367583%} MRK{18.379161%} MCD{4.630970%} VZ{11.143271%} IBM{8.683068%} BA{4.630970%} MMM{9.261939%} TRV{18.379161%} WBA{9.261939%} ,
