Number of Stock in Portfolio,Portfolio,TrendRatio,DailyRisk,ExpectedReturn,Number of Computations
20,4063.T 4519.T 3382.T 6954.T 4503.T 6702.T 5108.T MSFT UNH WMT JPM MRK CSCO NKE VZ IBM BA MMM TRV WBA ,0.71561964138389078105,22894.01566788638228899799,16383.40728209002918447368,208160
19,4063.T 4519.T 3382.T 6954.T 4503.T 6702.T 5108.T MSFT UNH WMT JPM MRK CSCO NKE VZ IBM BA MMM WBA ,0.71532016562729416886,23022.99129734410962555557,16468.80994805194131913595,206556
19,4063.T 4519.T 2914.T 3382.T 6954.T 4503.T 6702.T MSFT UNH JPM MRK CSCO NKE VZ IBM BA MMM TRV WBA ,0.71031441214982726784,23579.54759411133636604063,16748.89248807006879360415,149672
19,4063.T 4519.T 3382.T 6954.T 4503.T 6702.T 5108.T MSFT UNH JPM MRK CSCO NKE VZ IBM BA MMM TRV WBA ,0.72136501598234037402,23593.69095410405134316534,17019.66325218966812826693,209226
19,9432.T 4063.T 4519.T 3382.T 6954.T 4503.T 6702.T MSFT UNH WMT JPM MRK CSCO NKE VZ IBM BA MMM WBA ,0.71579519963441651242,23793.05146029464958701283,17030.95201993355294689536,207560
19,4063.T 4519.T 3382.T 4503.T 6702.T 5108.T MSFT UNH WMT JPM MRK CSCO NKE VZ IBM BA MMM TRV WBA ,0.71255924887837074344,23938.09528860811406048015,17057.31119842946282005869,209236
19,8306.T 4063.T 4519.T 3382.T 6954.T 4503.T 6702.T AAPL MSFT WMT JPM MRK NKE VZ IBM BA MMM TRV WBA ,0.72470136917335903348,23997.55681365852797171101,17391.06227967380618792959,153501
19,4063.T 4519.T 8766.T 3382.T 6954.T 4503.T 6702.T MSFT WMT JPM MRK CSCO NKE VZ IBM BA MMM TRV WBA ,0.74289680741387198459,24502.32499335276952479035,18202.69901177889551036060,104635
19,4063.T 4519.T 3382.T 6954.T 4503.T 6702.T MSFT UNH WMT JPM MRK CSCO NKE VZ IBM BA MMM TRV WBA ,0.74118613333774074903,24646.15199694759576232173,18267.38610027182585326955,113047
13,4063.T 4519.T 8766.T 6954.T 6702.T AAPL MSFT JPM MRK IBM BA MMM TRV ,0.81209977653206932846,24796.47673285062410286628,20137.21321353064922732301,57604
15,4063.T 4519.T 8766.T 6954.T 6702.T MSFT UNH JPM MRK VZ IBM BA MMM TRV WBA ,0.94293541745017905864,25675.76612023942652740516,24210.58924494112943648361,170936
15,4063.T 4519.T 8766.T 6702.T 5108.T MSFT WMT JPM MRK VZ IBM BA MMM TRV WBA ,0.93021083214469379996,26426.12654458001634338871,24581.86916339476010762155,5838
16,4063.T 4519.T 8766.T 6954.T 6702.T AAPL MSFT JPM MRK MCD VZ IBM BA MMM TRV WBA ,0.97648214622507167881,26455.65164803606603527442,25833.47150105711261858232,174509
15,4063.T 4519.T 8766.T 6954.T 6702.T MSFT JPM MRK KO VZ IBM BA MMM TRV WBA ,0.95657730596220424957,27016.51217967660704744048,25843.38243733012859593146,63865
14,4063.T 4519.T 8766.T 6702.T 5108.T MSFT JPM MRK VZ IBM BA MMM TRV WBA ,0.95922999821542997978,27151.95841004755129688419,26044.97301721534313401207,11070
15,4063.T 4519.T 8766.T 6954.T 6702.T MSFT JPM MRK MCD VZ IBM BA MMM TRV WBA ,0.98531722062818372088,27177.23976821518954238854,26778.20235276353560038842,92170
14,4063.T 4519.T 8766.T 6954.T 6702.T MSFT UNH JPM MRK IBM BA MMM TRV WBA ,0.99175830938481923660,27483.59670423009083606303,27257.08540320142492419109,61638
14,4063.T 4519.T 8766.T 6954.T 6702.T 5108.T MSFT JPM MRK IBM BA MMM TRV WBA ,0.98539710733556995503,28022.10411691717672511004,27612.90033826635044533759,55248
14,4063.T 4519.T 8766.T 6954.T 6702.T MSFT JPM MRK VZ IBM BA MMM TRV WBA ,0.98426266377493287774,28121.72923259739036438987,27679.16812443370508844964,57538
14,9433.T 4063.T 4519.T 8766.T 6954.T 6702.T MSFT JPM MRK IBM BA MMM TRV WBA ,0.97836426776263563099,28341.36035757240097154863,27728.17427363331080414355,59285
