Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
66,25959.99189,24487.08258,0.943262,13,WMT{18.405797%} JPM{18.405797%} PG{0.144928%} HD{0.289855%} MRK{10.434783%} KO{1.449275%} CSCO{4.637681%} DIS{9.275362%} VZ{2.463768%} CAT{9.275362%} INTC{4.637681%} AXP{2.318841%} TRV{18.260870%} ,
67,25962.10211,24580.7436,0.946793,12,WMT{23.260073%} JPM{11.538462%} MRK{6.043956%} KO{0.549451%} CSCO{2.930403%} NKE{0.732601%} DIS{9.523810%} VZ{5.860806%} CAT{11.721612%} INTC{3.846154%} TRV{23.260073%} DD{0.732601%} ,
68,25985.60232,24588.03467,0.946218,13,JNJ{0.436681%} WMT{18.486172%} JPM{18.486172%} PG{1.164483%} MRK{9.315866%} KO{1.018923%} CSCO{4.657933%} DIS{9.315866%} VZ{2.328967%} CAT{9.315866%} INTC{4.657933%} AXP{2.328967%} TRV{18.486172%} ,
69,26017.58843,24595.69,0.945349,12,WMT{18.326118%} JPM{18.326118%} HD{0.288600%} MRK{10.389610%} KO{1.443001%} CSCO{4.617605%} DIS{9.235209%} VZ{2.453102%} CAT{9.235209%} INTC{4.617605%} AXP{2.886003%} TRV{18.181818%} ,
70,26035.13712,24596.98018,0.944761,14,AAPL{0.284091%} JNJ{0.284091%} WMT{18.039773%} JPM{18.039773%} PG{0.568182%} MRK{9.090909%} KO{0.994318%} CSCO{4.545455%} DIS{9.090909%} VZ{2.840909%} CAT{9.090909%} INTC{4.545455%} AXP{4.545455%} TRV{18.039773%} ,
71,26048.55895,24615.82448,0.944998,14,JNJ{0.141643%} WMT{17.988669%} JPM{17.847025%} PG{0.566572%} MRK{9.631728%} KO{0.991501%} CSCO{4.532578%} NKE{0.283286%} DIS{9.065156%} VZ{2.832861%} CAT{9.065156%} INTC{4.532578%} AXP{4.532578%} TRV{17.988669%} ,
72,26049.60953,24618.58038,0.945065,13,JNJ{0.141044%} WMT{17.912553%} JPM{17.771509%} PG{0.564175%} MRK{10.155148%} KO{0.987306%} CSCO{4.513399%} DIS{9.167842%} VZ{2.820874%} CAT{9.026798%} INTC{4.513399%} AXP{4.513399%} TRV{17.912553%} ,
73,26055.03109,24628.49977,0.945249,14,JNJ{0.425532%} V{0.283688%} WMT{18.014184%} JPM{18.014184%} PG{0.567376%} MRK{9.078014%} KO{0.992908%} CSCO{4.539007%} DIS{9.078014%} VZ{2.836879%} CAT{9.078014%} INTC{4.539007%} AXP{4.539007%} TRV{18.014184%} ,
74,26059.97479,24666.92817,0.946545,12,WMT{18.220947%} JPM{18.220947%} HD{0.286944%} MRK{10.329986%} KO{1.434720%} CSCO{4.591105%} DIS{9.182209%} VZ{2.439024%} CAT{9.182209%} INTC{4.591105%} AXP{3.443329%} TRV{18.077475%} ,
75,26073.95433,24697.98764,0.947228,12,JNJ{0.447094%} WMT{18.926975%} JPM{18.926975%} PG{2.384501%} MRK{9.538003%} KO{1.043219%} CSCO{4.769001%} DIS{9.538003%} VZ{1.192250%} CAT{9.538003%} INTC{4.769001%} TRV{18.926975%} ,
