Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%},
552,140031.0045,45438.22409,0.324487,5,MRK{0.806452%} CSCO{51.209677%} VZ{3.225806%} AMGN{40.322581%} IBM{4.435484%} ,
553,140078.5068,45457.02806,0.324511,4,CSCO{51.417004%} VZ{3.643725%} AMGN{40.485830%} IBM{4.453441%} ,
554,140577.7189,45609.2637,0.324442,5,MRK{0.809717%} CSCO{51.417004%} VZ{3.643725%} AMGN{40.485830%} IBM{3.643725%} ,
555,141077.8491,45630.57417,0.323443,4,CSCO{51.626016%} VZ{3.252033%} AMGN{40.650407%} IBM{4.471545%} ,
556,142334.2546,45727.28417,0.321267,5,WMT{0.404858%} CSCO{51.417004%} VZ{3.643725%} AMGN{40.890688%} IBM{3.643725%} ,
557,143189.1609,46005.9885,0.321295,5,CSCO{52.263374%} MCD{0.823045%} VZ{4.526749%} AMGN{41.152263%} IBM{1.234568%} ,
558,145379.4655,46671.32315,0.321031,5,MRK{0.829876%} CSCO{52.697095%} VZ{3.734440%} AMGN{41.493776%} IBM{1.244813%} ,
559,146501.0045,46880.65193,0.320002,4,CSCO{53.138075%} VZ{3.765690%} AMGN{41.841004%} IBM{1.255230%} ,
560,149212.3868,47070.16646,0.315457,4,CSCO{53.361345%} VZ{0.420168%} AMGN{42.016807%} IBM{4.201681%} ,
561,169161.0894,47369.89094,0.280028,5,MRK{0.921659%} CSCO{43.778802%} VZ{4.147465%} AMGN{46.082949%} IBM{5.069124%} ,
562,171194.0085,47502.29553,0.277476,5,WMT{0.460829%} CSCO{43.778802%} VZ{4.147465%} AMGN{46.543779%} IBM{5.069124%} ,
563,189775.3574,51666.01412,0.272248,2,CSCO{50.000000%} AMGN{50.000000%} ,
564,278025.7234,58551.0965,0.210596,2,CSCO{33.333333%} AMGN{66.666667%} ,
565,349965.5907,64059.03177,0.183044,2,CSCO{20.000000%} AMGN{80.000000%} ,
566,394379.3192,64597.99258,0.163797,2,VZ{11.111111%} AMGN{88.888889%} ,
567,398246.5014,67732.10778,0.170076,2,CSCO{11.111111%} AMGN{88.888889%} ,
568,424611.5335,68232.00452,0.160693,2,VZ{5.882353%} AMGN{94.117647%} ,
569,426713.2022,69891.22797,0.16379,2,CSCO{5.882353%} AMGN{94.117647%} ,
570,441170.1287,70215.25093,0.159157,2,VZ{3.030303%} AMGN{96.969697%} ,
571,442266.2169,71069.96849,0.160695,2,CSCO{3.030303%} AMGN{96.969697%} ,
572,449847.7132,71252.88217,0.158393,2,VZ{1.538462%} AMGN{98.461538%} ,
573,450407.8116,71686.7704,0.15916,2,CSCO{1.538462%} AMGN{98.461538%} ,
574,458805.7275,72322.77673,0.157633,1,AMGN{100.000000%} ,
